sponsor,tier,year,conference,is_bigtech,canonical_name
samsung sail montreal,gold,2021,icml,True,samsung
sber ai,gold,2021,icml,False,NA
toloka,gold,2021,icml,False,NA
waymo,gold,2021,icml,True,alphabet
yokogawa electric corporation,gold,2021,icml,False,NA
ant group,silver,2021,icml,True,alibaba
bosch center for artificial intelligence,silver,2021,icml,False,NA
causalens,silver,2021,icml,False,NA
"graviti technologies, inc.",silver,2021,icml,False,NA
rora,silver,2021,icml,False,NA
servicenow,silver,2021,icml,False,NA
squarepoint capital,silver,2021,icml,False,NA
the d. e. shaw group,silver,2021,icml,False,NA
tower research capital llc,silver,2021,icml,False,NA
xtx markets technologies ltd,silver,2021,icml,False,NA
cambridge university press,book,2021,icml,False,NA
deepmind dei,champion,2021,iclr,True,alphabet
citadel and citadel securities,leader,2021,iclr,False,NA
ralph dei,leader,2021,iclr,False,NA
the d. e. shaw group dei,leader,2021,iclr,False,NA
two sigma dei,leader,2021,iclr,False,NA
amazon,platinum,2021,iclr,True,amazon
bytedance,platinum,2021,iclr,True,bytedance
deepmind,platinum,2021,iclr,True,alphabet
facebook,platinum,2021,iclr,True,meta
google,platinum,2021,iclr,True,alphabet
intel inc.,platinum,2021,iclr,True,intel
microsoft,platinum,2021,iclr,True,microsoft
openai,platinum,2021,iclr,True,openai
qualcomm,platinum,2021,iclr,False,NA
apple,gold,2021,iclr,True,apple
baidu,gold,2021,iclr,False,NA
ibm research ai,gold,2021,iclr,False,NA
morgan stanley,gold,2021,iclr,False,NA
naver,gold,2021,iclr,False,NA
salesforce,gold,2021,iclr,False,NA
sea limited,gold,2021,iclr,False,NA
zeta alpha,gold,2021,iclr,False,NA
absci,silver,2021,iclr,False,NA
bloomberg,silver,2021,iclr,False,NA
bosch center for artificial intelligence,silver,2021,iclr,False,NA
citadel & citadel securities,silver,2021,iclr,False,NA
the d. e. shaw group,silver,2021,iclr,False,NA
the home depot,silver,2021,iclr,False,NA
two sigma,silver,2021,iclr,False,NA
gretel,start-up,2021,iclr,False,NA
ralph,start-up,2021,iclr,False,NA
